### Footprint positions - created on 2026-03-29T09:04:22+0500 ###
### Printed by KiCad version 9.0.7
## Unit = inches, Angle = deg.
## Side : All
# Ref        Val                                  Package                              PosX       PosY       Rot  Side
ADAR1_0      ADAR1000ACCZN                        CC-88-1_ADI                        6.6339    -1.4568  180.0000  top
ADAR2_0      ADAR1000ACCZN                        CC-88-1_ADI                        9.6260    -1.4568  180.0000  top
ADAR3_0      ADAR1000ACCZN                        CC-88-1_ADI                        9.6260    -4.4490    0.0000  top
ADAR4_0      ADAR1000ACCZN                        CC-88-1_ADI                        6.6339    -4.4490    0.0000  top
ADTR1107_1   ADTR1107ACCZ                         CC-24-8_ADI                        6.2796    -1.8112  -135.0000  top
ADTR1107_2   ADTR1107ACCZ                         CC-24-8_ADI                        6.9882    -1.8112  -45.0000  top
ADTR1107_3   ADTR1107ACCZ                         CC-24-8_ADI                        6.2796    -1.1025  135.0000  top
ADTR1107_4   ADTR1107ACCZ                         CC-24-8_ADI                        6.9882    -1.1025   45.0000  top
ADTR1107_5   ADTR1107ACCZ                         CC-24-8_ADI                        9.2717    -1.8112  -135.0000  top
ADTR1107_6   ADTR1107ACCZ                         CC-24-8_ADI                        9.9804    -1.8112  -45.0000  top
ADTR1107_7   ADTR1107ACCZ                         CC-24-8_ADI                        9.2717    -1.1025  135.0000  top
ADTR1107_8   ADTR1107ACCZ                         CC-24-8_ADI                        9.9804    -1.1025   45.0000  top
ADTR1107_9   ADTR1107ACCZ                         CC-24-8_ADI                        9.2717    -4.8033  -135.0000  top
ADTR1107_10  ADTR1107ACCZ                         CC-24-8_ADI                        9.9804    -4.8033  -45.0000  top
ADTR1107_11  ADTR1107ACCZ                         CC-24-8_ADI                        9.2717    -4.0946  135.0000  top
ADTR1107_12  ADTR1107ACCZ                         CC-24-8_ADI                        9.9804    -4.0946   45.0000  top
ADTR1107_13  ADTR1107ACCZ                         CC-24-8_ADI                        6.2796    -4.8033  -135.0000  top
ADTR1107_14  ADTR1107ACCZ                         CC-24-8_ADI                        6.9882    -4.8033  -45.0000  top
ADTR1107_15  ADTR1107ACCZ                         CC-24-8_ADI                        6.2796    -4.0946  135.0000  top
ADTR1107_16  ADTR1107ACCZ                         CC-24-8_ADI                        6.9882    -4.0946   45.0000  top
C1           0.1uF                                C0201                              3.2685    -3.8809    0.0000  top
C2           0.1uF                                C0201                              3.2685    -3.8553    0.0000  top
C3           2.7pF                                C0402                              3.0359    -4.0320  180.0000  top
C4           0.1uF                                C0201                              2.9280    -3.9974   90.0000  top
C5           0.1uF                                C0201                              2.9516    -3.9836   90.0000  top
C6           0.1uF                                C0201                              2.9743    -3.9836   90.0000  top
C7           0.1uF                                C0201                              2.9969    -3.9836   90.0000  top
C8           0.1uF                                C0201                              3.0668    -3.9856   90.0000  top
C9           0.1uF                                C0201                              3.0855    -3.9856   90.0000  top
C10          0.1uF                                C0201                              3.1061    -3.9856   90.0000  top
C11          0.1uF                                C0201                              3.1435    -3.9856   90.0000  top
C12          0.1uF                                C0201                              3.1652    -3.9856   90.0000  top
C13          0.1uF                                C0201                              3.2410    -3.9186   90.0000  top
C14          0.1uF                                C0201                              2.8148    -3.8789    0.0000  top
C15          0.1uF                                C0201                              3.0353    -3.5885    0.0000  top
C16          0.1uF                                C0201                              2.8260    -3.8100  -90.0000  top
C17          47uF                                 C0201                              3.0556    -2.4495  135.0000  top
C18          2.7pF                                C0201                              4.3831    -6.2647  -90.0000  top
C19          2.7pF                                C0201                              4.3827    -6.1647   90.0000  top
C20          4.3pF                                C0201                              4.3792    -5.9753  -90.0000  top
C21          4.3pF                                C0201                              4.3768    -5.8753   90.0000  top
C22          2.2uF                                C0201                              3.1725    -6.3163  180.0000  top
C23          2.2uF                                C0201                              3.3335    -5.5348   90.0000  top
C24          100nF                                C0201                              4.1445    -5.7277    0.0000  top
C25          100nF                                C0201                              4.1662    -6.2600    0.0000  top
C26          100nF                                C0201                              4.1572    -6.0529  -90.0000  top
C27          100nF                                C0201                              4.1574    -5.7782   90.0000  top
C28          100nF                                C0201                              3.9730    -5.5103    0.0000  top
C29          100nF                                C0201                              3.7185    -5.5103    0.0000  top
C30          100nF                                C0201                              3.5201    -5.5106    0.0000  top
